x_value,y_value,heading_value
-1.13599,-1.25543,0.982148
-1.1084,-1.21373,0.990482
-1.08116,-1.1718,0.998815
-1.05427,-1.12964,1.00715
-1.02773,-1.08727,1.01548
-1.00155,-1.04467,1.02381
-0.975724,-1.00186,1.03215
-0.950123,-0.95891,1.03335
-0.924526,-0.915958,1.03335
-0.898929,-0.873007,1.03335
-0.873332,-0.830056,1.03335
-0.847735,-0.787106,1.03335
-0.822137,-0.744155,1.03335
-0.79654,-0.701203,1.03335
-0.770943,-0.658253,1.03335
-0.745346,-0.615302,1.03335
-0.719749,-0.572351,1.03335
-0.694152,-0.5294,1.03335
-0.668555,-0.486449,1.03335
-0.642958,-0.443498,1.03335
-0.61736,-0.400547,1.03335
-0.591763,-0.357596,1.03335
-0.566166,-0.314645,1.03335
-0.540569,-0.271694,1.03335
-0.514972,-0.228743,1.03335
-0.489375,-0.185792,1.03335
-0.463777,-0.142841,1.03335
-0.43818,-0.0998898,1.03335
-0.412583,-0.0569386,1.03335
-0.386986,-0.0139878,1.03335
-0.361389,0.0289633,1.03335
-0.335792,0.0719144,1.03335
-0.310195,0.114865,1.03335
-0.284597,0.157816,1.03335
-0.259,0.200767,1.03335
-0.233403,0.243718,1.03335
-0.207806,0.286669,1.03335
-0.182209,0.329621,1.03335
-0.156612,0.372571,1.03335
-0.131014,0.415522,1.03335
-0.105417,0.458473,1.03335
-0.0798202,0.501424,1.03335
-0.0542231,0.544375,1.03335
-0.0286262,0.587326,1.03335
-0.00302887,0.630277,1.03335
0.0225682,0.673228,1.03335
0.0481651,0.716179,1.03335
0.0737622,0.75913,1.03335
0.0993595,0.80208,1.03335
0.124957,0.845031,1.03335
0.150554,0.887982,1.03335
0.176151,0.930933,1.03335
0.201748,0.973884,1.03335
0.227345,1.01684,1.03335
0.252942,1.05979,1.03335
0.278539,1.10274,1.03335
0.304136,1.14569,1.03335
0.329733,1.18864,1.03335
0.355331,1.23159,1.03335
0.380928,1.27454,1.03335
0.406525,1.31749,1.03335
0.432122,1.36044,1.03335
0.457719,1.40339,1.03335
0.483316,1.44634,1.03335
0.508913,1.4893,1.03335
0.53451,1.53225,1.03335
0.560107,1.5752,1.03335
0.585705,1.61815,1.03335
0.611302,1.6611,1.03335
0.636899,1.70405,1.03335
0.662496,1.747,1.03335
0.688093,1.78995,1.03335
0.71369,1.8329,1.03335
0.739287,1.87585,1.03335
0.764885,1.91881,1.03335
0.790482,1.96176,1.03335
0.816078,2.00471,1.03335
0.841676,2.04766,1.03335
0.867273,2.09061,1.03335
0.89287,2.13356,1.03335
0.918467,2.17651,1.03335
0.944064,2.21946,1.03335
0.969661,2.26241,1.03335
0.995259,2.30536,1.03335
1.02086,2.34831,1.03335
1.04645,2.39127,1.03335
1.07205,2.43422,1.03335
1.09765,2.47717,1.03335
1.12324,2.52012,1.03335
1.14884,2.56307,1.03335
1.17444,2.60602,1.03335
1.20004,2.64897,1.03335
1.22563,2.69192,1.03335
1.25123,2.73487,1.03335
1.27683,2.77782,1.03335
1.30242,2.82077,1.03335
1.32802,2.86373,1.03335
1.35362,2.90668,1.03335
1.37921,2.94963,1.03335
1.40481,2.99258,1.03335
1.43041,3.03553,1.03335
1.45601,3.07848,1.03335
1.4816,3.12143,1.03335
1.5072,3.16438,1.03335
1.5328,3.20733,1.03335
1.5584,3.25028,1.03335
1.58399,3.29324,1.03335
1.60959,3.33619,1.03335
1.63519,3.37914,1.03335
1.66078,3.42209,1.03335
1.68638,3.46504,1.03335
1.71198,3.50799,1.03335
1.73757,3.55094,1.03335
1.76317,3.59389,1.03335
1.78877,3.63684,1.03335
1.81437,3.67979,1.03335
1.83996,3.72274,1.03335
1.86556,3.76569,1.03335
1.89116,3.80865,1.03335
1.91675,3.8516,1.03335
1.94235,3.89455,1.03335
1.96795,3.9375,1.03335
1.99355,3.98045,1.03335
2.01914,4.0234,1.03335
2.04474,4.06635,1.03335
2.07034,4.1093,1.03335
2.09593,4.15225,1.03335
2.12153,4.1952,1.03335
2.14713,4.23816,1.03335
2.17273,4.28111,1.03335
2.19832,4.32406,1.03335
2.22392,4.36701,1.03335
2.24952,4.40996,1.03335
2.27511,4.45291,1.03335
2.30071,4.49586,1.03335
2.32631,4.53881,1.03335
2.35192,4.58176,1.03139
2.37778,4.62455,1.02306
2.40399,4.66713,1.01472
2.43056,4.70948,1.00639
2.45748,4.75162,0.998057
2.48475,4.79352,0.989724
2.51237,4.8352,0.981391
2.54034,4.87665,0.973057
2.56865,4.91786,0.964724
2.5973,4.95884,0.956391
2.6263,4.99957,0.948057
2.65563,5.04007,0.939724
2.6853,5.08031,0.931391
2.7153,5.12031,0.923057
2.74563,5.16006,0.914724
2.7763,5.19955,0.906391
2.80729,5.23878,0.898057
2.83861,5.27776,0.889724
